fromNode	toNode	weight	direction	fromAltName	toAltName
NONMMUG016070.2	NONMMUG066175.1	0.334826874479282	undirected	NA	NA
NONMMUG016070.2	NONMMUG011207.2	0.242369384274675	undirected	NA	NA
NONMMUG016070.2	NONMMUG017071.2	0.237148509360707	undirected	NA	NA
NONMMUG016070.2	NONMMUG027243.2	0.295275082181771	undirected	NA	NA
NONMMUG016070.2	NONMMUG006747.2	0.267188566887575	undirected	NA	NA
NONMMUG016070.2	NONMMUG006868.2	0.262919401110072	undirected	NA	NA
NONMMUG016070.2	NONMMUG001781.2	0.265715673440177	undirected	NA	NA
NONMMUG016070.2	NONMMUG011036.2	0.253417721072413	undirected	NA	NA
NONMMUG016070.2	NONMMUG041627.2	0.186372207631232	undirected	NA	NA
NONMMUG016070.2	NONMMUG015084.2	0.362775857054703	undirected	NA	NA
NONMMUG016070.2	NONMMUG017112.2	0.255278929496638	undirected	NA	NA
NONMMUG016070.2	NONMMUG054076.1	0.155724328514912	undirected	NA	NA
NONMMUG016070.2	NONMMUG033679.2	0.239816536682487	undirected	NA	NA
NONMMUG016070.2	NONMMUG059794.1	0.159265211632334	undirected	NA	NA
NONMMUG016070.2	NONMMUG007544.2	0.351188630851072	undirected	NA	NA
NONMMUG016070.2	NONMMUG039348.2	0.182831830550883	undirected	NA	NA
NONMMUG016070.2	NONMMUG018436.2	0.261772640638451	undirected	NA	NA
NONMMUG016070.2	NONMMUG027498.2	0.299152211107375	undirected	NA	NA
NONMMUG016070.2	NONMMUG011208.2	0.267212664057799	undirected	NA	NA
NONMMUG016070.2	NONMMUG033278.2	0.26981335348706	undirected	NA	NA
NONMMUG016070.2	NONMMUG024251.2	0.22093165278087	undirected	NA	NA
NONMMUG016070.2	NONMMUG040891.2	0.289506592284039	undirected	NA	NA
NONMMUG016070.2	NONMMUG045154.2	0.177980312054083	undirected	NA	NA
NONMMUG016070.2	NONMMUG026613.2	0.243537514047441	undirected	NA	NA
NONMMUG016070.2	NONMMUG033692.2	0.321615165896005	undirected	NA	NA
NONMMUG016070.2	NONMMUG034454.2	0.148954274502008	undirected	NA	NA
